accuracy,loss,val_accuracy,val_loss
0.8053367137908936,0.5870778560638428,0.8516073822975159,0.4235800802707672
0.881406843662262,0.3426423668861389,0.8838265538215637,0.32739314436912537
0.8955811858177185,0.29099762439727783,0.8880845904350281,0.3228883147239685
0.9078872799873352,0.26220232248306274,0.8992974162101746,0.28689947724342346
0.9117861986160278,0.24714219570159912,0.8990135788917542,0.28901389241218567
0.9173503518104553,0.23021821677684784,0.8970264792442322,0.2947549819946289
0.9249857664108276,0.21785198152065277,0.9133489727973938,0.2458818256855011
0.9281942844390869,0.20493191480636597,0.9174650311470032,0.23804864287376404
0.9259605407714844,0.2042141854763031,0.9126392602920532,0.2502284049987793
0.9356266856193542,0.1762458086013794,0.9208714962005615,0.22739270329475403
0.9357485175132751,0.17481091618537903,0.9244198203086853,0.2182658463716507
0.9367638826370239,0.17334091663360596,0.9331488013267517,0.19056525826454163
0.938591480255127,0.16878534853458405,0.9305939674377441,0.20078080892562866
0.9393225312232971,0.16075801849365234,0.9176779389381409,0.24308118224143982
0.9411501884460449,0.15868330001831055,0.9376197457313538,0.1796795278787613
0.9450491666793823,0.14876922965049744,0.9230714440345764,0.22737880051136017
0.9506945013999939,0.13793276250362396,0.9440068006515503,0.16373439133167267
0.9468767642974854,0.1459941565990448,0.9385423064231873,0.1774178445339203
0.947973370552063,0.13678966462612152,0.9286778569221497,0.20591872930526733
0.9513037204742432,0.13496370613574982,0.9503229260444641,0.14592759311199188
